identifier	prefLabel	altLabel	description	historyNote
homoit0000312	Personnes LGBTQ+ victimes de crimes		Personnes LGBTQ+ qui ont été victimes de crimes et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000613	Personnes LGBTQ+ victimes de crimes haineux		Personnes LGBTQ+ qui ont été victimes de crimes haineux et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000959	Personnes LGBTQ+ victimes d'abus sexuels	Personnes LGBTQ+ victimes de violences sexuelles||Personnes LGBTQ+ victimes d'agressions sexuelles	Personnes LGBTQ+ ayant vécu de l'abus sexuel et qui peuvent ou non y avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000961	Personnes LGBTQ+ victimes de guerre		Personnes LGBTQ+ ayant vécu la guerre et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0002041	Regard masculin	Vision masculine||Male gaze	Concept postulant que les représentations des femmes dans les médias et les arts sont objectifiées et sexualisées du point de vue et pour le plaisir de l'homme hétérosexuel. À l'origine, ce terme était uniquement utilisé pour décrire le regard hétérosexuel et cisgenre, mais il a été élargi depuis.	
homoit0000989	État civil	État matrimonial	L'état d'une personne célibataire, mariée, séparée, divorcée ou veuve, tel que défini par un gouvernement ou une autorité légale.	
homoit0000991	Certificats de mariage		Documents délivrés par le gouvernement qui servent d'enregistrement officiel des mariages; peut être utilisé en référence aux certificats de mariage des personnes LGBTQ+ ou à leurs efforts pour obtenir des certificats de mariage.	
homoit0000995	Masculinités		Ensemble d'attributs, de comportements et de rôles propres à une culture et généralement associés aux hommes ou aux garçons au sein d'une société.	
homoit0000998	Massage		Manipulation du corps par des techniques telles que le frottement et le pétrissage des muscles et des articulations avec les mains, généralement pour soulager la tension et la douleur ou pour fournir une stimulation érotique.	
homoit0001000	Masturbation		Stimulation sexuelle de ses propres organes génitaux pour son propre plaisir.	
homoit0001017	Misogynie		La haine ou l'aversion pour les femmes ou les filles.	
homoit0001021	Mères		Personnes qui sont mères.	
homoit0001022	Mères de personnes bisexuelles		Personnes qui jouent le rôle de mère auprès d'une personne bisexuelle; à utiliser uniquement pour les personnes qui s'identifient elles-mêmes comme mères.	
homoit0001023	Mères d'hommes gais		Personnes qui jouent le rôle de mère auprès d'un homme gai; à utiliser uniquement pour les personnes qui s'identifient elles-mêmes comme mères.	
homoit0001024	Mères de personnes lesbiennes		Personnes qui jouent le rôle de mère auprès d'une personne lesbienne; à utiliser uniquement pour les personnes qui s'identifient elles-mêmes comme mères.	
homoit0001025	Mères de personnes trans		Personnes qui jouent le rôle de mère auprès d'une personne trans; à utiliser uniquement pour les personnes qui s'identifient elles-mêmes comme mères.	
homoit0001028	Sexe dans la boue		Activités sexuelles qui se déroulent dans la boue.	
homoit0001038	Nudisme		Pratique consistant à s'engager dans des activités sociales en étant nu·e, que ce soit en privé ou en public. Ce terme fait également référence au mouvement culturel prônant le nudisme comme mode de vie alternatif et sain.	
homoit0000593	Sexe oral		Activités sexuelles pratiquées avec la bouche.	
homoit0000022	Orgasmes		Apogées de l'excitation sexuelle, généralement caractérisées par des sensations de plaisir et des sensations physiques, notamment des contractions musculaires rapides, une augmentation de la pression artérielle et du rythme cardiaque, la libération d'endorphines et l'éjaculation.	
homoit0000173	Parents de personnes bisexuelles		Personnes qui assument le rôle de parent auprès d'une personne bisexuelle.	
homoit0000509	Parents d'hommes gais		Personnes qui assument le rôle de parent auprès d'un homme gai.	
homoit0000802	Parents de personnes lesbiennes		Personnes qui assument le rôle de parent auprès d'une personne lesbienne.	
homoit0001077	Parents de personnes queers		Personnes qui assument le rôle de parent auprès d'une personne queer.	
homoit0001078	Parents de personnes trans		Personnes qui assument le rôle de parent auprès d'une personne trans.	
homoit0001084	Partenaires de personnes bisexuelles		Personnes dont le ou la partenaire sexuel·le, romantique ou de jeu est bisexuel·le.	
homoit0001086	Partenaires d'hommes gais	Partenaires d'hommes gays	Personnes dont le ou partenaire sexuel, romantique ou de jeu est un homme gai.	
