identifier	prefLabel	altLabel	description	historyNote
homoit0002335	Afroamerikanische asexuelle Personen	Afroamerikanische ace Personen||Asexuelle Afroamerikaner:innen	Asexuelle Personen afrikanischer Abstammung, die in den Vereinigten Staaten geboren sind, oder asexuelle Menschen, die in afrikanischen Ländern geboren sind und in den Vereinigten Staaten leben oder eine starke Verbindung zu ihnen haben. Verwendung für Personen, die sich selbst als Afroamerikaner bezeichnen. Befolgen Sie die Präferenz der Person für Afroamerikaner oder Schwarze, wann immer möglich.	
homoit0000123	Afroamerikanische bisexuelle Personen	Bisexuelle afroamerikanische Personen||Bisexuelle Afroamerikaner:innen	Bisexuelle Personen afrikanischer Abstammung, die in den Vereinigten Staaten geboren sind, oder bisexuelle Menschen, die in afrikanischen Ländern geboren sind und in den Vereinigten Staaten leben oder eine starke Verbindung zu ihnen haben. Verwendung für Personen, die sich selbst als Afroamerikaner bezeichnen. Befolgen Sie die Präferenz der Person für Afroamerikaner oder Schwarze, wann immer möglich.	
homoit0000463	Afroamerikanische schwule Männer	Schwule afroamerikanische Männer||Schwule Afroamerikaner	Schwule Männer afrikanischer Abstammung, die in den Vereinigten Staaten geboren sind, oder schwule Männer, die in afrikanischen Ländern geboren sind und in den Vereinigten Staaten leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afroamerikanisch bezeichnen.	
homoit0002935	Afroamerikanische inter* Personen	Inter* afroamerikanische Personen||Afroamerikanische inter* Personen	Inter* Personen afrikanischer Abstammung, die in den Vereinigten Staaten geboren sind, oder inter* Personen, die in afrikanischen Ländern geboren sind und in den Vereinigten Staaten leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afroamerikanisch bezeichnen.	
homoit0000714	Afroamerikanische Lesben	Lesbische Afroamerikaner:innen	Lesben afrikanischer Abstammung, die in den Vereinigten Staaten geboren sind, oder Lesben, die in afrikanischen Ländern geboren sind und in den Vereinigten Staaten leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afroamerikanisch bezeichnen.	
homoit0000015	Afroamerikanische LGBTQ+-Personen	LGBTQ+-afroamerikanische Personen||LGBTQ+-Afroamerikaner:innen	Afroamerikanische Personen, die auch LGBTQ+ sind; nicht pauschal für People of Color verwenden; wann immer möglich der individuellen Präferenz für Afroamerikaner oder Schwarze folgen.	
homoit0001151	Afroamerikanische queere Personen	Queere afroamerikanische Personen||Queere Afroamerikaner:innen	Queere Personen afrikanischer Abstammung, die in den Vereinigten Staaten geboren sind, oder queere Personen, die in afrikanischen Ländern geboren sind und in den Vereinigten Staaten leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afroamerikanisch bezeichnen.	
homoit0001384	Afroamerikanische trans Personen	Trans afroamerikanische Personen||Trans Afroamerikaner:innen	Trans Personen afrikanischer Abstammung, die in den Vereinigten Staaten geboren sind, oder trans Personen, die in afrikanischen Ländern geboren sind und in den Vereinigten Staaten leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afroamerikanisch bezeichnen.	
homoit0002893	Afrokanadische asexuelle Personen	Asexuelle afrokanadische Personen||Asexuelle Afrokanadier:innen	Asexuelle Personen afrikanischer Abstammung, die in Kanada geboren sind, oder asexuelle Personen, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
homoit0000124	Afrokanadische bisexuelle Personen	Bisexuelle afroamerikanische Personen||Bisexuelle Afrokanadier:innen	Bisexuelle Personen afrikanischer Abstammung, die in Kanada geboren sind, oder bisexuelle Personen, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
homoit0000464	Afrokanadische schwule Männer	Schwule afrokanadische Männer||Schwule Afrokanadier	Schwule Männer afrikanischer Abstammung, die in Kanada geboren sind, oder schwule Männer, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
homoit0002957	Afrokanadische inter* Personen	Inter* afrokanadische Personen||Inter* Afrokanadier:innen	Inter* Personen afrikanischer Abstammung, die in Kanada geboren sind, oder inter* Personen, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
homoit0000715	Afrokanadische Lesben	Lesbische Afrokanadier:innen	Lesben afrikanischer Abstammung, die in Kanada geboren sind, oder Lesben, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
homoit0000016	Afrokanadische LGBTQ+-Personen	LGBTQ+-afrokanadische Personen||LGBTQ+-Afrokanadier:innen	LGBTQ+-Personen afrikanischer Abstammung, die in Kanada geboren sind, oder LGBTQ+-Personen, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
homoit0001152	Afrokanadische queere Personen	Queere afrokanadische Personen||Queere Afrokanadier:innen	Queere Personen afrikanischer Abstammung, die in Kanada geboren sind, oder queere Personen, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
