identifier	prefLabel	altLabel	description	historyNote
homoit0003385	Bisexuella arabamerikaner		Bisexuella personer som har arabiskt ursprung och är födda i USA, eller bisexuella personer födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003386	Arabamerikanska transpersoner		Transpersoner som har arabiskt ursprung och är födda i USA, eller transpersoner födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003387	Queera arabamerikaner		Queera personer som har arabiskt ursprung och är födda i USA, eller queera personer födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003388	Ickebinära arabamerikaner		Ickebinära personer som har arabiskt ursprung och är födda i USA, eller ickebinära personer födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003389	Asexuella arabamerikaner		Asexuella personer som har arabiskt ursprung och är födda i USA, eller asexuella personer födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003390	Arabamerikanska intersexpersoner		Intersexpersoner som har arabiskt ursprung och är födda i USA, eller intersexpersoner födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003391	Aromantiska arabamerikaner		Aromantiska personer som har arabiskt ursprung och är födda i USA, eller aromantiska personer födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003392	Arabiska aromantiker		Aromantiska personer som kommer från arabvärlden och/eller har arabiskt ursprung. Ska inte förväxlas med muslimer.	
homoit0003393	Ickebinära aboriginer		Ickebinära personer som tillhör ett eller flera av de olika ursprungsfolken i Australien. Använd inte begreppet för att hänvisa till ursprungsbefolkningen på Torressundöarna, eftersom de utgör en egen etnisk och kulturell grupp. Det bör endast användas för att beskriva personer som identifierar sig som aboriginer.	
homoit0003394	Ickebinära assameser		Ickebinära personer som tillhör den socio-etniska gruppen assameser, talar assamesiska eller bor i den indiska delstaten Assam.	
homoit0003395	Ickebinära awadhier		Ickebinära personer som talar awadhi och bor i eller härstammar från personer som bodde i Awadh-regionen i Uttar Pradesh.	
homoit0003396	Ickebinära bengaler		Ickebinära personer som talar bengali eller är av bengalisk härkomst.	
homoit0003397	Ickebinära bhiler		Ickebinära personer som talar bhili och tillhör eller härstammar från Bhil-folket.	
homoit0003398	Ickebinära bhojpurier		Ickebinära personer som talar bhojpuri och bor i eller härstammar från personer som levde i Bhojpuri-Purvanchal-regionen i Indien och Nepal.	
homoit0003399	Mixade ickebinära	Blandade ickebinära	Ickebinära personer som tillhör två eller flera etniska grupper. Används endast för personer som själva identifierar sig som mixade.	
homoit0003400	Svarta ickebinära		Svarta personer som är ickebinära. Används endast för individer som själva identifierar sig som svarta. Följ individens preferens för att använda svart eller diasporaidentitet som t.ex. afroeuropé när det är möjligt.	
homoit0003401	Ickebinära chakma		Ickebinära personer som tillhör eller härstammar från chakma-folket.	
homoit0003402	Ickebinära chicano/a/x		Ickebinära personer av mexikanskt ursprung födda i USA. Används endast för personer som själva identifierar sig som chicano, chicana eller chicanx. Ska inte förväxlas med latino/a/x eller spansktalande personer.	
homoit0003403	Garderobsickebinära		Ickebinära personer som inte identifierar sig som sådana inför andra.	
homoit0003404	Döttrar till ickebinära		Döttrar som har en eller flera ickebinära föräldrar.	
homoit0003405	Ickebinära dogra		Ickebinära personer som tillhör Dografolket i Indien och Pakistan och talar dogri.	
homoit0003406	Pappor till ickebinära	Fäder till ickebinära	Personer som har rollen som pappa till ickebinära personer. Används endast för personer som själva identifierar sig som pappor.	
homoit0003407	Ickebinära garwhali		Ickebinära personer som tillhör eller härstammar från ursprungsbefolkningen i Garhwal i Uttarakhand och som talar garhwali.	
homoit0003408	Ickebinära gujarater		Ickebinära personer som bor i eller härstammar från ursprungsbefolkningen i den indiska delstaten Gujarat.	
homoit0003409	Ickebinära haryanvi		Ickebinära personer som tillhör eller härstammar från ursprungsbefolkningen i det som i dag är den indiska delstaten Haryana. Termen kan även användas för personer som i dag är bosatta i Haryana.	
homoit0003410	Ickebinära inuiter		Ickebinära personer som är inuiter eller tillhör något av de urfolk som lever i inuiternas hemland i de arktiska och subarktiska regionerna på Grönland, i Kanada och i Alaska. Används endast för personer som själva identifierar sig som inuiter.	
homoit0003411	Judiska icebinära	Ickebinära judar	Ickebinära personer som är judar.	
homoit0003412	Ickebinära kalash		Ickebinära personer som tillhör det ursprungliga Kalashafolket och bor i Chitral-distriktet i Khyber-Pakhtunkhwa, Pakistan.	
homoit0003413	Ickebinära Kānaka Maoli		Ickebinära personer som tillhör det ursprungliga folket på Hawai‘i (Mokupuni o Hawai‘i). Används endast för personer som identifierar sig som Kānaka Maoli.	
homoit0003414	Ickebinära kashmirier		Ickebinära personer som bor i eller härstammar från Kashmirdalen i Indien.	
homoit0003415	Ickebinära kho	Ickebinära chitraler	Ickebinära personer som tillhör eller härstammar från ursprungsbefolkningen i Chitral- och Ghizer-distrikten i nuvarande Pakistan.	
homoit0003416	Ickebinära konkanis		Ickebinära personer som kommer från eller härstammar från Konkanregionen i Indien och som talar någon form av konkani.	
homoit0003417	Ickebinära kumaoni		Ickebinära personer som främst bor i Kumaonregionen i Indiens Himalaya och som eventuellt har kumaoni som modersmål.	
homoit0003418	Ickebinära kutchi		Ickebinära personer som kommer från eller härstammar från Kutchdistriktet i indiska Gujarat och Sindhregionen i Pakistan.	
homoit0003419	Ickebinära latines	Latino/a/x ickebinära	Ickebinära personer som är latinamerikaner och som själva identifierar sig som latines (latino, latina eller latinx). Blanda inte ihop med chicano/a/x eller hispanic.	
homoit0003420	Ickebinära maldivier		Ickebinära personer som tillhör eller härstammar från ursprungsbefolkningen på Maldiverna (inklusive ön Minicoy) och som talar maldiviska språk.	
homoit0003421	Multirasiala ickebinära		Ickebinära personer som tillhör två eller flera rasliga grupper. Används endast för personer som själva identifierar sig som multirasiala.	
homoit0003422	Ickebinära ursprungsamerikaner		Personer som tillhör ursprungsfolken i det kontinentala USA och Kanada (exklusive inuiter) och som identifierar sig som ickebinära. Blanda inte ihop med Two-spirit-personer. Använd mer specifika termer där det är möjligt.	
homoit0003423	Ickebinära pacifikamerikaner	Ickebinära personer med stillahavsöbakgrund som identifierar sig som amerikanska	Ickebinära personer som identifierar sig som både amerikanska och som personer med ursprung i Stillahavsöarna.	
homoit0003424	Ickebinära papuaner		Ickebinära personer som är papuanska eller tillhör något av Nya Guineas ursprungsfolk. Använd endast för personer som själva identifierar sig som papuanska.	
homoit0003425	Romska ickebinära personer		Ickebinära personer som är romer.	
