identifier	prefLabel	altLabel	description	historyNote
homoit0002249	Hombres gay kalash		Hombres gay que pertenecen a el pueblo indígena Kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistan.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002253	Personas intersexuales kalash	Personas intersex kalash	Personas intersexuales que pertenecen a el pueblo indígena Kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistan.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002248	Lesbianas kalash		Lesbianas que pertenecen al pueblo indígena kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002247	Personas LGBTQ+ kalash	Personas kalash LGBTQ+	Personas LGBTQ+ que pertenecen al pueblo indígena kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002252	Personas queer kalash	Personas kalash queer	Personas queer que pertenecen al pueblo indígena kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002251	Personas transgénero kalash	Personas kalash transgénero	Personas transgénero que pertenecen al pueblo indígena kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002924	Personas asexuales kānaka maoli	Personas kānaka maoli asexuales	Personas asexuales que pertenecen al pueblo indígena mokupuni o hawai‘i, o a las islas hawaianas. Utilícese únicamente para describir a las personas que se identifiquen como kānaka maoli.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0001958	Personas bisexuales kānaka maoli	Personas kānaka maoli bisexuales	Personas bisexuales que pertenecen al pueblo indígena mokupuni o hawai‘i, o a las islas hawaianas. Utilícese únicamente para describir a las personas que se identifiquen como kānaka maoli.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0001955	Personas LGBTQ+ kānaka maoli	Personas kānaka maoli LGBTQ+	Personas LGBTQ+ que pertenecen al pueblo indígena mokupuni o hawai‘i, o a las islas hawaianas. Utilícese únicamente para describir a las personas que se identifiquen como kānaka maoli.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0001960	Personas queer kānaka maoli	Personas kānaka maoli queer	Personas queer que pertenecen al pueblo indígena mokupuni o hawai‘i, o a las islas hawaianas. Utilícese únicamente para describir a las personas que se identifiquen como kānaka maoli.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0001959	Personas transgénero kānaka maoli	Personas kānaka maoli transgénero	Personas transgénero que pertenecen al pueblo indígena mokupuni o hawai‘i, o a las islas hawaianas. Utilícese únicamente para describir a las personas que se identifiquen como kānaka maoli.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002302	Personas asexuales cachemires	Cachemires asexuales	Personas asexuales que viven en o son descendientes de las personas nativas del valle de Cachemira en el subcontinente indio.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002298	Personas bisexuales cachemires	Cachemires bisexuales	Personas bisexuales que viven en o son descendientes de las personas nativas del valle de Cachemira en el subcontinente indio.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002297	Hombres gay cachemires	Cachemires gay	Hombres gay que viven en o son descendientes de las personas nativas del valle de Cachemira en el subcontinente indio.	
homoit0002301	Personas intesexuales cachemires	Personas intesex cachemires	Personas intersexuales que viven en o son descendientes de las personas nativas del valle de Cachemira en el subcontinente indio.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002299	Personas queer cachemires	Cachemires queer	Personas queer que viven en o son descendientes de las personas nativas del valle de Cachemira en el subcontinente indio.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002300	Personas transgénero cachemires	Cachemires transgénero	Personas transgénero que viven en o son descendientes de las personas nativas del valle de Cachemira en el subcontinente indio.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002117	Personas asexuales kho	Personas kho asexuales	Personas asexuales que pertenecen a o son descendientes de las personas nativas de los distritos de Chitral y Ghizer del actual Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002113	Personas bisexuales kho	Personas kho bisexuales	Personas bisexuales que pertenecen a o son descendientes de las personas nativas de los distritos de Chitral y Ghizer del actual Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002112	Hombres gay kho	Hombres kho gay	Hombres gay que pertenecen a o son descendientes de las personas nativas de los distritos de Chitral y Ghizer del actual Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002116	Personas intersexuales kho	Personas intersex kho	Personas intersexuales que pertenecen a o son descendientes de las personas nativas de los distritos de Chitral y Ghizer del actual Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002110	Personas LGBTQ+ kho	Personas kho LGBTQ+	Personas LGBTQ+ que pertenecen a o son descendientes de las personas nativas de los distritos de Chitral y Ghizer del actual Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0000103	Comunidad kink		Grupos de personas que comparten una preferencia por las actividades eróticas y sexuales que involucran la restricción, la dominación, la sumisión, el sadismo y/o el masoquismo.	
homoit0003084	Personas kinky	Personas kinki	Personas que participan en relaciones kinky o de intercambio de poder.	
homoit0002310	Personas asexuales konkani	Personas konkani asexuales	Personas asexuales que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002306	Personas bisexuales konkani	Personas konkani bisexuales	Personas bisexuales que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002303	Personas LGBTQ+ konkani	Personas konkani LGBTQ+	Personas LGBTQ+ que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002307	Personas queer konkani	Personas konkani queer	Personas queer que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002308	Personas transgénero konkani	Personas konkani transgénero	Personas transgénero que pertenecen a o son descendientes de las personas nativas de la región Konkan del subcontinente indio, y que hablan cualquiera de los dialectos de la lengua konkani.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002318	Personas asexuales kumaoni	Personas kumaoni asexuales	Personas asexuales que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002314	Personas bisexuales kumaoni	Personas kumaoni bisexuales	Personas bisexuales que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002311	Personas LGBTQ+ kumaoni	Personas kumaoni LGBTQ+	Personas LGBTQ+ que viven principalmente en la región de Kumaon, en el Himalaya indio. También pueden hablar la lengua kumaoni como su primera lengua.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002321	Hombres gay kutchi		Hombres gay que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002319	Personas LGBTQ+ kutchi	Personas kutchi LGBTQ+	Personas LGBTQ+ que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002323	Personas queer kutchi	Personas kutchi queer	Personas queer que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002325	Personas transgénero kutchi	Personas kutchi transgénero	Personas transgénero que pertenecen a o son descendientes de las personas nativas del distrito Konkan del estado indio de Guyarat y la región Sind de Pakistán.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002897	Personas asexuales Latinx	Personas latinx asexuales||Personas latinas asexuales||Latinos asexuales||Latines asexuales||Latinxs asexuales||Latinas asexuales	Personas latinoamericanas que son asexuales; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.	El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.
