identifier	prefLabel	altLabel	description	historyNote
homoit0003491	Literatura infantil bisexual	Literatura bisexual infantil	Obras literarias escritas para un público de lectores de hasta 12 años de edad, también conocidas como literatura infantil. Se utiliza en referencia a la literatura infantil centrada en personajes o temas bisexuales.	
homoit0003429	Novelas gráficas bisexuales		Obras que consisten en imágenes secuenciales, a menudo acompañadas de texto que generalmente contienen historias independientes; utilícese en referencia a novelas gráficas que se centran en personajes o temas bisexuales.	
homoit0003517	Pintores bisexuales	Pintoras bisexuales	Personas bisexuales que pintan, ya sea profesionalmente o por afición.	
homoit0003449	Fotógrafos bisexuales	Fotógrafas bisexuales	Personas bisexuales que toman fotografías, ya sea profesionalmente o por afición.	
homoit0003198	Solidaridad bisexual		Un sentido de compañerismo y unidad general de propósito, interés político y/o simpatías comunitarias basadas en experiencias compartidas como personas bisexuales.	
homoit0003250	Docentes bisexuales	Profesores bi||Profesoras bi	Docentes o profesores que se autoidentifican como bisexuales.	
homoit0003350	Unitarios universalistas bisexuales	Personas unitarias universalistas bisexuales||Unitarias universalistas bisexuales	Personas bisexuales que son miembros de la Iglesia Unitaria Universalista.	
homoit0003212	Sitios web bisexuales		Páginas web públicas que tratan principalmente sobre comunidades y temas bisexuales, así como páginas web destinadas a personas bisexuales.	
homoit0003463	Sobrevivientes jóvenes bisexuales de bullying		Jóvenes bisexuales de entre 12 y 18 años que han sufrido y sobrevivido al acoso debido a su identidad sexual. Siga la preferencia de la persona por "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0003477	Víctimas jóvenes bisexuales de bullying		Jóvenes bisexuales de entre 12 y 18 años que han sufrido acoso debido a su identidad sexual y pueden o no haber sobrevivido. Siga la preferencia de la persona por "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0003400	Personas no binarixs negras	Personas negras no binarias||No binarixs negrxs||Negrxs no binarixs	Personas negras que son no binarias. Utilícese únicamente para personas que se autoidentifican como negrxs. Siga la preferencia por "afroamericanxs" o "negrxs" siempre que sea posible.	
homoit0003367	Autonomía corporal	Derecho a la autonomía corporal	El derecho de una persona a tomar decisiones informadas sobre su propio cuerpo sin influencias externas ni coerciones.	
homoit0003292	Personas indígenas arrománticas centroamericanas	Personas centroamericanas indígenas arrománticas||Personas arrománticas centroamericanas indígenas||Centroamericanos indígenas arrománticos||Arrománticos centroamericanos indígenas||Indígenas arrománticos centroamericanos||Centroamericanas indígenas arrománticas||Arrománticas centroamericanos indígenas||Indígenas arrománticas centroamericanas	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como arrománticos.	
homoit0003281	Personas indígenas asexuales centroamericanas	Personas centroamericanas indígenas asexuales||Personas asexuales centroamericanas indígenas||Indígenas asexuales centroamericanos||Centroamericanos indígenas asexuales||Indígenas asexuales centroamericanas||Centroamericanas indígenas asexuales||	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como asexuales.	
homoit0003282	Personas indígenas bisexuales centroamericanas	Personas centroamericanas indígenas bisexuales||Personas bisexuales centroamericanas indígenas||Indígenas bisexuales centroamericanas||Centroamericanas indígenas bisexuales||Bisexuales centroamericanas indígenas||Indígenas bisexuales centroamericanos||Centroamericanos indígenas bisexuales||Bisexuales centroamericanos indígenas	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como bisexuales.	
homoit0003289	Personas indígenas demisexuales centroamericanas	Personas centroamericanas indígenas demisexuales||Personas demisexuales centroamericanas indígenas||Indígenas demisexuales centroamericanas||Centroamericanas indígenas demisexuales||Demisexuales centroamericanas indígenas||Indígenas demisexuales centroamericanos||Centroamericanos indígenas demisexuales||Demisexuales centroamericanos indígenas||	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como demisexuales.	
homoit0003283	Hombres indígenas gay centroamericanos	Hombres centroamericanos indígenas gay||Hombres gay centroamericanos indígenas	Hombres que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como gay.	
homoit0003291	Personas indígenas grisrománticas centroamericanas	Personas centroamericanas indígenas grisrománticas||Personas grisrománticas centroamericanas indígenas||Indígenas grisrománticas centroamericanas||Centroamericanas indígenas grisrománticas||Grisrománticas centroamericanas indígenas||Indígenas grisrománticos centroamericanos||Centroamericanos indígenas grisrománticos||Grisrománticos centroamericanos indígenas||	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como grisrománticas.	
homoit0003284	Personas indígenas intersexuales centroamericanas	Personas indígenas intersex centroamericanas||Personas centroamericanas indígenas intersexuales||Personas intersexuales centroamericanas indígenas||Indígenas intersexuales centroamericanas||Centroamericanas indígenas intersexuales||Intersexuales centroamericanas indígenas||Indígenas intersexuales centroamericanos||Centroamericanos indígenas intersexuales||Intersexuales centroamericanos indígenas||	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como intersexuales.	
