identifier	prefLabel	altLabel	description	historyNote
homoit0003417	Kumaoni non-binaire personen	Kumain nonbinaire personen||Kumaiye non-binaire personen||Kumaiye nonbinaire personen||Kumaoni nonbinaire personen	Non-binaire personen die voornamelijk in de regio Kumaon in de Indiase Himalaya wonen. Ze spreken mogelijk ook de Kumaoni-taal als hun eerste taal.	
homoit0002316	Kumaoni queer personen	Kumaiye queer personen	Queer personen die voornamelijk in de regio Kumaon in de Indiase Himalaya wonen. Ze spreken misschien ook de Kumaoni-taal als hun eerste taal.	
homoit0002315	Kumaoni transgender personen	Kumaiye transgender personen	Transgender personen die voornamelijk in de regio Kumaon in de Indiase Himalaya wonen. Ze spreken misschien ook de Kumaoni-taal als hun eerste taal.	
homoit0002319	Kutchi LHBTQ+-personen		LHBTQ+-personen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0002326	Kutchi aseksuele personen		Aseksuele personen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0002322	Kutchi biseksuele personen		Biseksuele personen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0002321	Kutchi homomannen		Homomannen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0002324	Kutchi intersekse personen		Intersekse personen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0002320	Kutchi lesbische vrouwen		Lesbische vrouwen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0003418	Kutchi non-binaire personen	Non-binaire Kutchi's||Nonbinaire Kutchi's	Non-binaire personen die afkomstig zijn uit het district Kutch in de Indiase deelstaat Gujarat en de regio Sindh in Pakistan, of daarvan afstammen.	
homoit0002323	Kutchi queer personen		Queer personen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0002325	Kutchi transgender personen		Transgender personen die afkomstig zijn uit of afstammen van de oorspronkelijke bewoners in het Kutch-district van de Indiase deelstaat Gujarat en de Sindh-regio van Pakistan.	
homoit0000253	Latino/a/x LHBTQ+-personen	Latino's (LHBTQ+)||Latinx personen (LHBTQ+)||LHBTQ+-Latina's||LHBTQ+-Latinos||LHBTQ+-Latinx personen	Latijns-Amerikaanse personen die LHBTQ+ zijn; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic	
homoit0000019	Afro-Latijns-Amerikaanse LHBTQ+-personen	Afro-Latijns-Amerikanen (LHBTQ+)||LHBTQ+-Afro-Latijns-Amerikaanse personen||LHBTQ+-Afro-Latijns-Amerikanen	LHBTQ+-personen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of LHBTQ+-personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Latijns-Amerika. Gebruik voor personen die zichzelf identificeren als Afro-Latijns-Amerikaans.	
homoit0002898	Afro-Latijns-Amerikaanse aseksuele personen		Aseksuele mensen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of aseksuele mensen geboren in Afrikaanse landen die in Latijns-Amerika wonen of daar een sterke band mee hebben. Alleen gebruiken voor personen die zichzelf identificeren als Afro-Latijns-Amerikaan.	
homoit0000127	Afro-Latijns-Amerikaanse biseksuele personen		Biseksuele personen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of biseksuele personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Latijns-Amerika. Gebruik voor personen die zichzelf identificeren als Afro-Latijns-Amerikaans	
homoit0000467	Afro-Latijns-Amerikaanse homomannen		Homomannen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of homomannen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Latijns-Amerika. Gebruik voor personen die zichzelf identificeren als Afro-Latijns-Amerikaans.	
homoit0002960	Afro-Latijns-Amerikaanse intersekse personen	Afro-Latine intersekse personen||Afro-Latino intersekse personen||Afro-Latino/a/x intersekse personen||Afro-Latinx intersekse personen||Intersekse Afro-Latijns-Amerikanen||Intersekse Afro-Latinas||Intersekse Afro-Latine personen||Intersekse Afro-Latinos||Intersekse Afro-Latinx personen	Intersekse mensen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of intersekse mensen geboren in Afrikaanse landen die in Latijns-Amerika wonen of daar een sterke band mee hebben. Alleen gebruiken voor personen die zichzelf identificeren als Afro-Latijns-Amerikaan.	
homoit0000718	Afro-Latijns-Amerikaanse lesbische vrouwen		Lesbische vrouwen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of lesbische vrouwen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Latijns-Amerika. Gebruik voor personen die zichzelf identificeren als Afro-Latijns-Amerikaans.	
homoit0001155	Afro-Latijns-Amerikaanse queer personen		Queer personen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of queer personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Latijns-Amerika. Gebruik voor personen die zichzelf identificeren als Afro-Latijns-Amerikaans.	
homoit0001388	Afro-Latijns-Amerikaanse transgender personen		Transgender personen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of transgender personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Latijns-Amerika. Gebruik voor personen die zichzelf identificeren als Afro-Latijns-Amerikaans.	
