URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
https://homosaurus.org/v2/dhurani	dhurani	Dhurani	""	""	Bengali term for the third sex, often referring to feminine, male-assigned people	""	https://homosaurus.org/v2/culturallySpecificGenderIdentities	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/dhurani	""
https://homosaurus.org/v2/DSM	DSM	DSM	""	Diagnostic and statistical manual of mental disorders	""	""	""	""	https://homosaurus.org/v2/mentalHealthCareForLGBTQPeople	2019-05-14	2021-09-24	https://homosaurus.org/v2/DSM	""
https://homosaurus.org/v2/intersex	intersex	Intersex	""	Differences in sex development||Divergences in sex development||DSDs||Hermaphroditism||Intersexuality||Variations in sex development||VSDs	""	""	https://homosaurus.org/v2/sexBody	https://homosaurus.org/v2/intersexConditions	https://homosaurus.org/v2/intersexIdentity||https://homosaurus.org/v2/intersexMovement||https://homosaurus.org/v2/intersexPeople||https://homosaurus.org/v2/LGBTI||https://homosaurus.org/v2/sexAssignedAtBirth||https://homosaurus.org/v2/transgenderism	2019-05-14	2021-09-24	https://homosaurus.org/v2/intersex	""
https://homosaurus.org/v2/dilbaa	dilbaa	Dilbaa	""	""	Navajo term for a person assigned female at birth who takes on the role of a boy in childhood and a man in adulthood	""	https://homosaurus.org/v2/culturallySpecificGenderIdentities	""	https://homosaurus.org/v2/nadleehi||https://homosaurus.org/v2/two-spiritPeople	2019-05-14	2021-09-24	https://homosaurus.org/v2/dilbaa	""
https://homosaurus.org/v2/dildoHarnesses	dildoHarnesses	Dildo harnesses	""	""	""	""	https://homosaurus.org/v2/harnesses	""	https://homosaurus.org/v2/chestHarnesses||https://homosaurus.org/v2/thighHarnesses	2019-05-14	2021-09-24	https://homosaurus.org/v2/dildoHarnesses	""
https://homosaurus.org/v2/dildos	dildos	Dildos	""	Strap-ons	""	""	https://homosaurus.org/v2/sexAccessories	""	https://homosaurus.org/v2/buttplugs||https://homosaurus.org/v2/penises||https://homosaurus.org/v2/strapOnSex||https://homosaurus.org/v2/vibrators	2019-05-14	2021-09-24	https://homosaurus.org/v2/dildos	""
https://homosaurus.org/v2/discriminationLGBTQ	discriminationLGBTQ	Discrimination (LGBTQ)	""	""	""	""	""	https://homosaurus.org/v2/antiBisexualDiscrimination||https://homosaurus.org/v2/antiGayDiscrimination||https://homosaurus.org/v2/antiLesbianDiscrimination||https://homosaurus.org/v2/antiQueerDiscrimination||https://homosaurus.org/v2/antiTransgenderDiscrimination	https://homosaurus.org/v2/anti-discriminationLaw||https://homosaurus.org/v2/harassment||https://homosaurus.org/v2/intoleranceTowardsLGBTQPeople||https://homosaurus.org/v2/lavenderScare||https://homosaurus.org/v2/persecutionsLGBTQ||https://homosaurus.org/v2/policeHarassment||https://homosaurus.org/v2/amatonormativity||https://homosaurus.org/v2/compulsorySexuality||https://homosaurus.org/v2/mononormativity||https://homosaurus.org/v2/slurs||https://homosaurus.org/v2/stigma	2019-05-14	2021-09-24	https://homosaurus.org/v2/discriminationLGBTQ	""
https://homosaurus.org/v2/disordersOfSexualDevelopment	disordersOfSexualDevelopment	Disorders of sexual development	""	""	A medicalized category for describing sexual development which varies from male or female	""	https://homosaurus.org/v2/medicalisation	""	https://homosaurus.org/v2/intersexConditions	2019-05-14	2021-09-24	https://homosaurus.org/v2/disordersOfSexualDevelopment	""
https://homosaurus.org/v2/diversity	diversity	Diversity	""	""	Diversity in characteristics of people in age, gender, religion, ethnicity, sexual orientation, lifestyle, etc.	""	""	https://homosaurus.org/v2/genderDiversity||https://homosaurus.org/v2/sexualDiversity	https://homosaurus.org/v2/intersectionality	2019-05-14	2021-09-24	https://homosaurus.org/v2/diversity	""
https://homosaurus.org/v2/divorcedPeople	divorcedPeople	Divorced people	""	""	""	""	https://homosaurus.org/v2/maritalStatus	""	https://homosaurus.org/v2/LGBTQDivorce||https://homosaurus.org/v2/singlePeople	2019-05-14	2021-09-24	https://homosaurus.org/v2/divorcedPeople	""
https://homosaurus.org/v2/domesticPartnershipContracts	domesticPartnershipContracts	Domestic partnership contracts	""	""	""	""	https://homosaurus.org/v2/officialDocumentation	""	https://homosaurus.org/v2/domesticPartnershipRetirementBenefits||https://homosaurus.org/v2/domesticPartnerships||https://homosaurus.org/v2/LGBTQPersonalAndFamilyLaw||https://homosaurus.org/v2/LGBTQWeddings||https://homosaurus.org/v2/livingArrangements||https://homosaurus.org/v2/marriage	2019-05-14	2021-09-24	https://homosaurus.org/v2/domesticPartnershipContracts	""
https://homosaurus.org/v2/domesticPartnershipRetirementBenefits	domesticPartnershipRetirementBenefits	Domestic partnership retirement benefits	""	Same-sex pension benefits	""	""	""	""	https://homosaurus.org/v2/domesticPartnershipContracts||https://homosaurus.org/v2/LGBTQPersonalAndFamilyLaw	2019-05-14	2021-09-24	https://homosaurus.org/v2/domesticPartnershipRetirementBenefits	""
https://homosaurus.org/v2/domesticPartnerships	domesticPartnerships	Domestic partnerships	""	""	Legal or personal relationship between two individuals who live together and share a common domestic life but are neither joined by marriage nor a civil union	""	https://homosaurus.org/v2/livingArrangements	""	https://homosaurus.org/v2/civilUnions||https://homosaurus.org/v2/couplesLGBTQ||https://homosaurus.org/v2/domesticPartnershipContracts||https://homosaurus.org/v2/marriage||https://homosaurus.org/v2/officialDocumentation||https://homosaurus.org/v2/partnersLGBTQ||https://homosaurus.org/v2/relationshipsLGBTQ||https://homosaurus.org/v2/significantOthers	2019-05-14	2021-09-24	https://homosaurus.org/v2/domesticPartnerships	""
https://homosaurus.org/v2/dominatricesLGBTQ	dominatricesLGBTQ	Dominatrices (LGBTQ)	""	""	""	""	https://homosaurus.org/v2/leatherCommunity||https://homosaurus.org/v2/sexualIdentity||https://homosaurus.org/v2/sexualRoles||https://homosaurus.org/v2/tops	https://homosaurus.org/v2/bisexualDominatrices||https://homosaurus.org/v2/lesbianDominatrices||https://homosaurus.org/v2/queerDominatrices||https://homosaurus.org/v2/transgenderDominatrices	https://homosaurus.org/v2/BDSMCommunity||https://homosaurus.org/v2/bottoms||https://homosaurus.org/v2/mastersLGBTQ||https://homosaurus.org/v2/mistressesLGBTQ||https://homosaurus.org/v2/sadism||https://homosaurus.org/v2/slaves	2019-05-14	2021-09-24	https://homosaurus.org/v2/dominatricesLGBTQ	""
https://homosaurus.org/v2/donors	donors	Donors	""	""	""	""	""	https://homosaurus.org/v2/eggDonors||https://homosaurus.org/v2/LGBTQBloodDonors||https://homosaurus.org/v2/spermDonors	https://homosaurus.org/v2/biologicalParenthood||https://homosaurus.org/v2/ConceptionByLGBTQPeople||https://homosaurus.org/v2/geneticParenthood||https://homosaurus.org/v2/LGBTQPersonalAndFamilyLaw||https://homosaurus.org/v2/medicalCare||https://homosaurus.org/v2/surrogacy	2019-05-14	2021-09-24	https://homosaurus.org/v2/donors	""
https://homosaurus.org/v2/downLow	downLow	Down-low	""	""	African American slang term that typically refers to a subculture of Black men who usually identify as heterosexual but have sex with men	""	https://homosaurus.org/v2/africanAmericansLGBTQ	""	https://homosaurus.org/v2/bisexualAfricanAmericans||https://homosaurus.org/v2/closetedBisexualPeople||https://homosaurus.org/v2/closetedGayMen||https://homosaurus.org/v2/gayAfricanAmericans||https://homosaurus.org/v2/menWhoHaveSexWithMen||https://homosaurus.org/v2/secrecy	2019-05-14	2021-09-24	https://homosaurus.org/v2/downLow	""
https://homosaurus.org/v2/drab	drab	Drab	""	""	""	""	https://homosaurus.org/v2/genderExpression	""	https://homosaurus.org/v2/clothing||https://homosaurus.org/v2/drag	2019-05-14	2021-09-24	https://homosaurus.org/v2/drab	""
https://homosaurus.org/v2/drag	drag	Drag	""	""	""	""	https://homosaurus.org/v2/genderExpression	https://homosaurus.org/v2/lingerie	https://homosaurus.org/v2/camp||https://homosaurus.org/v2/clothing||https://homosaurus.org/v2/drab||https://homosaurus.org/v2/dragBalls||https://homosaurus.org/v2/dragBars||https://homosaurus.org/v2/dragCommunity||https://homosaurus.org/v2/dragKings||https://homosaurus.org/v2/dragQueens||https://homosaurus.org/v2/LGBTQArts||https://homosaurus.org/v2/voguing	2019-05-14	2021-09-24	https://homosaurus.org/v2/drag	""
https://homosaurus.org/v2/dragBalls	dragBalls	Drag balls	""	""	""	""	https://homosaurus.org/v2/LGBTQEvents	""	https://homosaurus.org/v2/ballCulture||https://homosaurus.org/v2/drag||https://homosaurus.org/v2/dragCommunity||https://homosaurus.org/v2/voguing	2019-05-14	2021-09-24	https://homosaurus.org/v2/dragBalls	""
