URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
https://homosaurus.org/terms/afro-caribbeans	afro-caribbeans	afro-caribbeans	""	""	""	""	https://homosaurus.org/terms/blackPeople	https://homosaurus.org/terms/afro-antillians||https://homosaurus.org/terms/afro-surinamese	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-latinAmericans	afro-latinAmericans	afro-latin americans	""	""	""	""	https://homosaurus.org/terms/blackPeople||https://homosaurus.org/terms/latinos	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/afro-surinamese	afro-surinamese	afro-surinamese	""	""	""	""	https://homosaurus.org/terms/afro-caribbeans	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/age	age	age	""	""	""	""	""	""	https://homosaurus.org/terms/ageDiscrimination||https://homosaurus.org/terms/ageOfConsent||https://homosaurus.org/terms/intergenerationalRelationships	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageDiscrimination	ageDiscrimination	age discrimination	""	""	""	""	https://homosaurus.org/terms/discrimination	https://homosaurus.org/terms/adultism||https://homosaurus.org/terms/ageism	https://homosaurus.org/terms/age||https://homosaurus.org/terms/ageGroups	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageGroups	ageGroups	age groups	""	""	""	""	""	https://homosaurus.org/terms/adults||https://homosaurus.org/terms/minors||https://homosaurus.org/terms/youth	https://homosaurus.org/terms/ageDiscrimination||https://homosaurus.org/terms/phasesOfLife	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageOfConsent	ageOfConsent	age of consent	""	""	""	""	""	""	https://homosaurus.org/terms/age||https://homosaurus.org/terms/intergenerationalRelationships||https://homosaurus.org/terms/minors||https://homosaurus.org/terms/sexualOffencesLaws	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageism	ageism	ageism	""	""	discrimination against older people	""	https://homosaurus.org/terms/ageDiscrimination	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ageplay	ageplay	ageplay	""	age play	roleplaying, usually sexual, in which one adult takes on the role of a child while the other takes on that of an older authority figure	""	https://homosaurus.org/terms/roleplay	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/aggression	aggression	aggression	""	""	use only for feelings of aggression	""	""	https://homosaurus.org/terms/bullying	https://homosaurus.org/terms/violence	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/agriculturalOccupations	agriculturalOccupations	agricultural occupations	""	""	""	""	https://homosaurus.org/terms/occupations	https://homosaurus.org/terms/cowboys||https://homosaurus.org/terms/cowgirls||https://homosaurus.org/terms/farmers	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSActivists	AIDSActivists	AIDS activists	""	""	""	""	https://homosaurus.org/terms/activists	""	https://homosaurus.org/terms/AIDSOrganisations||https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSAwareness	AIDSAwareness	AIDS awareness	""	""	""	""	""	""	https://homosaurus.org/terms/redRibbons	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSEducation	AIDSEducation	AIDS education	""	""	""	""	https://homosaurus.org/terms/provisionOfInformation	""	https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSInformationCentres	AIDSInformationCentres	AIDS information centres	""	AIDS documentation centres	""	""	https://homosaurus.org/terms/informationCentres	""	https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSOrganisations	AIDSOrganisations	AIDS organisations	""	AIDS organizations	""	""	https://homosaurus.org/terms/organisations	""	https://homosaurus.org/terms/AIDSActivists||https://homosaurus.org/terms/AIDSPeriodicals||https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSPeriodicals	AIDSPeriodicals	AIDS periodicals	""	""	""	""	https://homosaurus.org/terms/press	""	https://homosaurus.org/terms/AIDSOrganisations||https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/AIDSPhobia	AIDSPhobia	AIDS phobia	""	fear of AIDS||AIDSphobia	""	""	https://homosaurus.org/terms/discrimination||https://homosaurus.org/terms/phobias	""	https://homosaurus.org/terms/HIVAIDS	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/airForce	airForce	air force	""	""	""	""	https://homosaurus.org/terms/military	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/airlinePersonnel	airlinePersonnel	airline personnel	""	""	""	""	https://homosaurus.org/terms/transportationOccupations	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alcohol	alcohol	alcohol	""	""	""	""	https://homosaurus.org/terms/drugs	""	https://homosaurus.org/terms/alcoholism	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alcoholism	alcoholism	alcoholism	""	""	""	""	https://homosaurus.org/terms/substanceAbuse	""	https://homosaurus.org/terms/alcohol	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alimony	alimony	alimony	""	""	""	""	https://homosaurus.org/terms/supportLiability	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/allergies	allergies	allergies	""	""	""	""	https://homosaurus.org/terms/physicalDisorders	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/allies	allies	allies	""	""	""	""	""	""	https://homosaurus.org/terms/directAction||https://homosaurus.org/terms/gay-straightAlliances||https://homosaurus.org/terms/solidarity	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alternativeMedicine	alternativeMedicine	alternative medicine	""	""	any healing practice that does not fall within the realm of conventional medicine	""	https://homosaurus.org/terms/therapies	https://homosaurus.org/terms/healing||https://homosaurus.org/terms/homeopathy||https://homosaurus.org/terms/meditation||https://homosaurus.org/terms/tantra||https://homosaurus.org/terms/traditionalMedicine||https://homosaurus.org/terms/witchcraft	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/alternativePunishments	alternativePunishments	alternative punishments	""	alternative sanctions	""	""	""	""	https://homosaurus.org/terms/criminalLaw||https://homosaurus.org/terms/imprisonment||https://homosaurus.org/terms/legalProcess	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/amazons	amazons	amazons	""	""	nation of all-female warriors in Greek mythology and Classical antiquity; from the Early Modern period, their name has become a term for woman warriors in general	""	""	""	https://homosaurus.org/terms/mythology	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/americanCultures	americanCultures	american cultures	""	""	""	""	https://homosaurus.org/terms/cultures	https://homosaurus.org/terms/latinAmericanCultures||https://homosaurus.org/terms/nativeAmericanCultures||https://homosaurus.org/terms/northAmericanCultures	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/analCancer	analCancer	anal cancer	""	""	""	""	https://homosaurus.org/terms/cancer	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/analIntercourse	analIntercourse	anal intercourse	""	butt fucking	""	""	https://homosaurus.org/terms/analSex||https://homosaurus.org/terms/phallicSex	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/analSex	analSex	anal sex	""	""	""	""	https://homosaurus.org/terms/sexualPractices	https://homosaurus.org/terms/analIntercourse||https://homosaurus.org/terms/barebacking||https://homosaurus.org/terms/fisting||https://homosaurus.org/terms/poopSex||https://homosaurus.org/terms/rimming	https://homosaurus.org/terms/enemas	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anarchism	anarchism	anarchism	""	""	""	""	https://homosaurus.org/terms/politicalMovements||https://homosaurus.org/terms/politicalSystems	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/androgyny	androgyny	androgyny	""	""	""	""	""	""	https://homosaurus.org/terms/femininity||https://homosaurus.org/terms/gender||https://homosaurus.org/terms/genderBending||https://homosaurus.org/terms/genderIdentity||https://homosaurus.org/terms/genderRole||https://homosaurus.org/terms/intersex||https://homosaurus.org/terms/masculinity	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anglicanism	anglicanism	anglicanism	""	episcopal church||church of england	""	""	https://homosaurus.org/terms/christianity	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/animalSexualBehaviour	animalSexualBehaviour	animal sexual behaviour	""	animal sexuality	""	""	https://homosaurus.org/terms/sexuality	""	https://homosaurus.org/terms/animals	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/animals	animals	animals	""	""	""	""	""	https://homosaurus.org/terms/pets	https://homosaurus.org/terms/animalSexualBehaviour||https://homosaurus.org/terms/zoophilia	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/animatedFilm	animatedFilm	animated film	""	""	""	""	https://homosaurus.org/terms/film	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anonymousComplaints	anonymousComplaints	anonymous complaints	""	""	""	""	""	""	https://homosaurus.org/terms/prosecutionPolicy	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anonymousSex	anonymousSex	anonymous sex	""	""	""	""	""	""	https://homosaurus.org/terms/casualSex||https://homosaurus.org/terms/cruising||https://homosaurus.org/terms/sexLocations||https://homosaurus.org/terms/sexuality||https://homosaurus.org/terms/sexualRelationships	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anorexiaNervosa	anorexiaNervosa	anorexia nervosa	""	""	""	""	https://homosaurus.org/terms/eatingDisorders	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anthologies	anthologies	anthologies	""	""	""	""	""	""	https://homosaurus.org/terms/literature	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anthropology	anthropology	anthropology	""	""	""	""	https://homosaurus.org/terms/socialAndBehaviouralSciences	https://homosaurus.org/terms/archeology	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anthroposophy	anthroposophy	anthroposophy	""	""	""	""	https://homosaurus.org/terms/philosophiesOfLife	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-discriminationLaw	anti-discriminationLaw	anti-discrimination law	""	equal treatment act	""	""	https://homosaurus.org/terms/law	""	https://homosaurus.org/terms/discrimination	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-fascism	anti-fascism	anti-fascism	""	""	""	""	""	""	https://homosaurus.org/terms/fascism	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-feminism	anti-feminism	anti-feminism	""	""	""	""	""	""	https://homosaurus.org/terms/feminism	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-gayViolence	anti-gayViolence	anti-gay violence	""	""	""	""	https://homosaurus.org/terms/violence	""	https://homosaurus.org/terms/hateCrimes	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-lesbianViolence	anti-lesbianViolence	anti-lesbian violence	""	lesbian bashing	""	""	https://homosaurus.org/terms/violence	""	https://homosaurus.org/terms/hateCrimes	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-racism	anti-racism	anti-racism	""	""	""	""	""	""	https://homosaurus.org/terms/racism	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-semitism	anti-semitism	anti-semitism	""	anti-jewish attitudes	""	""	https://homosaurus.org/terms/discrimination||https://homosaurus.org/terms/ethnicRelations	""	https://homosaurus.org/terms/jews	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/anti-transgenderViolence	anti-transgenderViolence	anti-transgender violence	""	""	""	""	https://homosaurus.org/terms/violence	""	https://homosaurus.org/terms/hateCrimes||https://homosaurus.org/terms/transgenderPeople	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/apartheid	apartheid	apartheid	""	""	""	""	https://homosaurus.org/terms/ethnicRelations	""	https://homosaurus.org/terms/homelands	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/appearance	appearance	appearance	""	""	""	""	https://homosaurus.org/terms/physicalCharacteristics	https://homosaurus.org/terms/bodyAdornments	https://homosaurus.org/terms/beautyStandards||https://homosaurus.org/terms/bodyImage||https://homosaurus.org/terms/clothing	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/apps	apps	apps	""	mobile applications||mobile apps	software applications, usually designed to run on smartphones and tablet computers	""	https://homosaurus.org/terms/telecommunication	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/aquaticSports	aquaticSports	aquatic sports	""	""	swimming, sailing, etc.	""	https://homosaurus.org/terms/sports	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/ARC	ARC	ARC	""	AIDS related complex	""	""	https://homosaurus.org/terms/HIVAIDS	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/archeology	archeology	archeology	""	archaeology	""	""	https://homosaurus.org/terms/anthropology||https://homosaurus.org/terms/history	""	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/architecture	architecture	architecture	""	""	""	""	https://homosaurus.org/terms/visualArts	https://homosaurus.org/terms/interiorDesign||https://homosaurus.org/terms/landscapeArchitecture	""	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/archives	archives	archives	""	""	""	""	https://homosaurus.org/terms/informationServices	https://homosaurus.org/terms/gayArchives||https://homosaurus.org/terms/lesbianArchives||https://homosaurus.org/terms/transgenderArchives||https://homosaurus.org/terms/womensArchives	https://homosaurus.org/terms/archivists||https://homosaurus.org/terms/digitisation||https://homosaurus.org/terms/libraries	2015-11-25	2015-11-25	""	""
https://homosaurus.org/terms/archivists	archivists	archivists	""	""	""	""	https://homosaurus.org/terms/serviceOccupations	""	https://homosaurus.org/terms/archives	2015-11-25	2015-11-25	""	""
