prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Biracial asexual people,Personas asexuales birraciales ,homoit0002904,"Asexual bi-racial people||
Asexual biracial people||
Bi-racial asexual people","Personas birraciales asexuales|| 
Asexuales birraciales",Asexual people who belong to two or more racial groups. ,Personas asexuales que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Biracial bisexual people,Personas bisexuales birraciales,homoit0001798,,,Bisexual people who belong to two or more racial groups.,Personas bisexuales que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Biracial gay men,Hombres gay birraciales,homoit0001797,"Bi-racial gay men||
Gay bi-racial men||
Gay biracial men","Hombres gay bi-raciales|| 
Gays bi-raciales|| 
Hombres bi-raciales gay|| 
Hombres birraciales gay ",Gay men who belong to two or more racial groups.,Hombres gay que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Biracial intersex people,Personas intersexuales birraciales ,homoit0002961,"Bi-racial intersex people||
Intersex bi-racial people||
Intersex biracial people","Personas bi-raciales intersex|| 
Personas intersex bi-raciales|| 
Personas birraciales intersex || 
Personas intersex birraciales ",Intersex people who belong to two or more racial groups. Only use for people who self-identify as biracial.,Personas intersexuales que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Biracial lesbians,Lesbianas birraciales,homoit0001796,Bi-racial lesbians,Lesbianas bi-raciales,Lesbians who belong to two or more racial groups.,Lesbianas que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).","--> SN EN and ES, I think we should include the sentences ""Only use for people who self-identify as biracial."" and ""Utilícese únicamente para personas que se autoidentifiquen como birraciales."" See ROW 407"
Biracial LGBTQ+ people,Personas LGBTQ+ birraciales,homoit0000820,"Bi-racial LGBTQ+ people||
Bi-racial people (LGBTQ)||
Biracial people (LGBTQ)||
LGBTQ+ bi-racial people||
LGBTQ+ biracial people","Personas LGBTQ+ bi-raciales|| 
Personas birraciales (LGBTQ)|| 
Personas bi-raciales LGBTQ+|| 
Personas birraciales LGBTQ+||
Personas bi-raciales (LGBTQ)|| 
 ",LGBTQ+ people who belong to two or more racial groups.,Personas LGBTQ+ que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).","--> SN EN and ES, I think we should include the sentences ""Only use for people who self-identify as biracial."" and ""Utilícese únicamente para personas que se autoidentifiquen como birraciales."" See ROW 407"
Biracial queer people,Personas queer birraciales,homoit0001800,"Bi-racial queer people||
Queer bi-racial people||
Queer biracial people","Personas queer bi-raciales|| 
Personas birraciales queer|| 
Personas bi-raciales queer ",Queer people who belong to two or more racial groups.,Personas queer que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).","--> SN EN and ES, I think we should include the sentences ""Only use for people who self-identify as biracial."" and ""Utilícese únicamente para personas que se autoidentifiquen como birraciales."" See ROW 407"
Biracial transgender people,Personas transgénero birraciales,homoit0001799,"Bi-racial transgender people||
Transgender bi-racial people||
Transgender biracial people","Personas bi-raciales transgénero|| 
Personas transgénero bi-raciales|| 
Personas birraciales transgénero ",Transgender people who belong to two or more racial groups.,Personas transgénero que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifiquen como birraciales.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).","--> SN EN and ES, I think we should include the sentences ""Only use for people who self-identify as biracial."" and ""Utilícese únicamente para personas que se autoidentifiquen como birraciales."" See ROW 407"
Biromantic people,Personas birrománticas,homoit0001824,,,Individuals who experience romantic attraction or desire in a frequent and consistent manner toward people of more than one sex or gender.,Personas que experimentan atracción o deseo romántico de forma frecuente y constante hacia personas de más de un sexo o género.,,,,
Biromanticism,Birromanticismo,homoit0001792,,,A romantic orientation characterized by the occurrence of romantic attraction or desire in a frequent and consistent manner toward more than one sex or gender.,Orientación romántica caracterizada por la atracción o el deseo romántico de forma frecuente y constante hacia más de un sexo o género.,,,,
Birth certificate amendments,Enmiendas al certificado de nacimiento,homoit0000118,,,"Formal changes to an individual's birth certificate, typically to reflect a change to the individual's legal name or gender or sex marker.","Cambios formales al certificado de nacimiento de una persona, normalmente para reflejar un cambio en su nombre legal, o de su marca de género o sexo.",,,,
Birth certificates,Certificados de nacimiento,homoit0000119,,,"Legal documents issued to record an individual’s birth, typically including identifying information such as the individual's name, assigned gender or sex, date and location of birth, and parentage.","Documentos legales expedidos para registrar el nacimiento de una persona, que suelen incluir información identificativa como el nombre de la persona, el sexo o género asignado, la fecha y el lugar de nacimiento y el parentesco.",,,,"--> SN ES, ""parentage"" should be translated as ""padres"" or an equivalent in GNL"
Birth parents,Madres y padres biológicos,homoit0000121,,"Madres biológicas|| 
Padres biológicos",Biological or genetic parents of a child or children placed for adoption.,Padres y/o madres biológicos o genéticos del niño o niños dados en adopción.,,,,--> check FGG and GNL in prefLabel ES and SN ES 
Bisexual activism,Activismo bisexual,homoit0000122,,,Direct action and organizing to achieve political or social change and acceptance for bisexuality.,Acción directa y organización para lograr el cambio político o social y la aceptación de la bisexualidad.,,,,
Bisexual archives,Archivos bisexuales,homoit0000128,,,Collections of records and materials relating to bisexual people or bisexual communities; can include a variety of organizations and institutions from community to government archives.,"Colecciones de registros y materiales relacionados con personas bisexuales o comunidades bisexuales; pueden incluir una variedad de organizaciones e instituciones, desde archivos comunitarios hasta gubernamentales.",,,,"--> SN EN and ES, I checked the language of terms containing ""archive"". They all are standarized."
Bisexual art,Arte bisexual,homoit0002600,,,"Term for different forms of creative activity, including visual, material, and performing arts, by bisexual artists or about bisexual topics and communities. 
","Término para diferentes formas de actividad creativa, incluidas las artes visuales, materiales y escénicas, de artistas bisexuales o sobre temas y comunidades bisexuales. 
",,,,
