Identifier | Translation prefLabel (Spanish) | Translation altLabel (Spanish) | Description/Scope Note (Spanish)
homoit0001583 | Ficción de horror bisexual |   | Obras de ficción escritas con la intención de asustar, atemorizar o provocar disgusto; utilícese en referencia a la ficción de horror centrada en personajes o temas bisexuales.
homoit0000153 | Identidad bisexual |   | Término utilizado para describir la identidad sexual de personas que se sienten atraídas romántica y/o sexualmente por personas de más de un género y que prefieren el término bisexual a alternativas como pansexual, polisexual, etc.
homoit0000147 | Centros de información bisexual |   | Instituciones que brindan educación, apoyo e información sobre la bisexualidad y comunidades bisexuales a personas bisexuales.
homoit0000156 | Bibliotecas bisexuales |   | Bibliotecas que contienen materiales principalmente relacionados con personas bisexuales o destinados a personas bisexuales.
homoit0001605 | Crítica literaria bisexual |   | El estudio, la evaluación y la interpretación de obras literarias centradas en personajes o temas bisexuales; también puede incluir la interpretación de la literatura a través del lente y los marcos teóricos de la bisexualidad.
homoit0000157 | Literatura bisexual |   | Obras literarias escritas sobre la bisexualidad, personajes bisexuales o temas bisexuales.
homoit0000160 | Hombres bisexuales |   | Hombres que se autoidentifican como bisexuales.
homoit0000161 | Amas bisexuales |   | Mujeres bisexuales que forman parte de la escena BDSM y asumen el rol de ama en las relaciones sexuales con una dinámica ama/esclava.
homoit0002344 | Madres bisexuales | Mamás bisexuales | Personas bisexuales que son madres.
homoit0000162 | Movimiento bisexual |   | Término general para el activismo centrado en los derechos de las personas bisexuales y los problemas que enfrentan las comunidades bisexuales.
homoit0000163 | Museos bisexuales |   | Instituciones dedicadas al almacenamiento, la exposición, la conservación y la preservación de materiales relacionados con las personas bisexuales y la historia bisexual.
homoit0003162 | Musicales bisexuales |   | Musicales creados por directores bisexuales, que representan a personas bisexuales o que se consideran importantes dentro de la cultura bisexual.
homoit0003162 | Musicales bisexuales |   | Musicales creados por directores bisexuales, que representan a personas bisexuales o que se consideran importantes dentro de la cultura bisexual.
homoit0000164 | Musulmanes bisexuales |   | Personas bisexuales que son musulmanas.
homoit0001577 | Ficción bisexual de misterio y detectives |   | Obras literarias escritas sobre la investigación de crímenes o el trabajo de detectives; utilícese en referencia a la ficción de misterio y de detectives centrada en personajes y temas bisexuales.
homoit0002661 | Personas bisexuales neurodivergentes |   | Personas bisexuales cuyos cerebros procesan, aprenden y/o se comportan de manera diferente a lo que la sociedad considera típico. Algunas de estas diferencias neurológicas pueden presentarse como problemas de aprendizaje, trastornos médicos y otras condiciones.
homoit0000166 | Boletines bisexuales |   | Publicaciones impresas o digitales serializadas creadas por o para personas bisexuales, a menudo con el propósito de compartir noticias e información relacionada con comunidades bisexuales y temas bisexuales.
homoit0000167 | Periódicos bisexuales | Diarios bisexuales | Publicaciones impresas o digitales serializadas sobre la bisexualidad o temas bisexuales (y generalmente producidas por personas u organizaciones bisexuales) que contienen noticias, artículos, columnas, correspondencia y anuncios.
homoit0002888 | Óperas bisexuales |   | Óperas creadas por directores bisexuales, que representan a personas bisexuales o a personas consideradas importantes dentro de la cultura bisexual.
homoit0000168 | Paganos bisexuales |   | Personas bisexuales que son miembros de religiones politeístas u otras religiones fuera de la cultura dominante que típicamente incorporan el culto a la naturaleza y/o lo sagrado femenino, como la Wicca, el druidismo, el paganismo, etc. Utilícese para describir a las personas bisexuales que se autoidentifican como paganas.
homoit0000169 | Madres y padres bisexuales | Madres bisexuales\|\|  Padres bisexuales | Padres y/o madres que son bisexuales.
homoit0002369 | Parejas bisexuales |   | Personas bisexuales que son las parejas románticas, sexuales o de juego de otra persona o personas.
homoit0000170 | Personas bisexuales | Bisexuales | Personas que se sienten atraídas romántica y/o sexualmente por más de un género y que se autoidentifican como bisexuales; no se debe utilizar para describir a personas pansexuales o polisexuales a menos que también utilicen el término bisexual.
homoit0002150 | Personas bisexuales en fandom | Bisexuales en fandom | La participación e inclusión de personas bisexuales en las comunidades de fans.
homoit0000171 | Personas bisexuales en el ejército | Personas bisexuales en las fuerzas armadas | Personas bisexuales que sirven en las fuerzas armadas estatales y nacionales.
homoit0001882 | Personas bisexuales en el lugar de trabajo |   | La presencia de personas bisexuales en el lugar de trabajo, incluida la aceptación de los trabajadores bisexuales y los problemas a los que se enfrentan.
homoit0000172 | Personas bisexuales de color |   | Personas bisexuales que no son blancas y que se autoidentifican como personas de color.
homoit0001882 | Personas bisexuales con enfermedades crónicas | Personas con enfermedades crónicas bisexuales\|\|  Enfermos crónicos bisexuales\|\| Enfermas crónicas bisexuales | Personas bisexuales que tienen condiciones de salud a largo plazo que requieren atención médica continua y/o que impactan o limitan significativamente la vida diaria; algunas, pero no todas, las personas con enfermedades crónicas se consideran discapacitadas.
homoit0000174 | Poesía bisexual |   | Obras literarias, normalmente escritas en verso, que se centran en personajes, temas o identidades bisexuales.
homoit0000175 | Activistas políticos bisexuales |   | Personas bisexuales que trabajan para lograr cambios políticos o sociales a través de la organización pública.
homoit0002812 | Políticos bisexuales | Oficiales públicos bisexuales\|\| Oficiales públicas bisexuales\|\| Políticas bisexuales | Personas bisexuales que son candidatas a cargos públicos, que ejercen cargos públicos o que han desempeñado cargos políticos. Los políticos pueden ser elegidos mediante elección pública o designados de otro modo.
homoit0000176 | Películas pornográficas bisexuales |   | Películas eróticas o sexualmente explícitas protagonizadas por personas bisexuales.
homoit0000177 | Prensa bisexual | Diarios bisexuales | Periódicos, revistas u otros medios editoriales dirigidos a audiencias bisexuales y/o operados por personas bisexuales.
homoit0000178 | Trabajadores sexuales bisexuales | Prostitutos bisexuales\|\|  Trabajadores sexuales bi\|\|  Prostitutos bi\|\|  Prostitución bisexual\|\| Trabajo sexual bisexual\|\| Prostitutas bisexuales\|\|  Trabajadoras sexuales bi\|\|  Prostitutas bi\|\|  Trabajadoras sexuales bisexuales | Personas bisexuales que reciben dinero o bienes a cambio de servicios o actuaciones sexuales. Se utiliza para describir a las personas bisexuales que trabajan en el amplio espectro del trabajo sexual.
homoit0000179 | Protestantes bisexuales |   | Personas bisexuales que son miembros de la Iglesia protestante.
homoit0000180 | Editoriales bisexuales |   | Empresas y organizaciones que publican materiales para comunidades bisexuales o que abordan asuntos bisexuales.
homoit0000181 | Radio bisexual |   | Contenido auditivo emitido por radio (analógica o digital) sobre la bisexualidad y asuntos bisexuales.
homoit0000182 | Relaciones bisexuales |   | Conexiones continuas (románticas, sexuales o platónicas) entre dos o más personas bisexuales.
homoit0000183 | Derechos bisexuales |   | Principios legales, sociales o éticos de libertad o derecho que tienen las personas bisexuales.
homoit0000184 | Personas católico romanas bisexuales | Católico romanos bisexuales\|\| Católico romanas bisexuales | Personas bisexuales que son miembros de la Iglesia católica romana.
homoit0001594 | Ficción romántica bisexual |   | Obras literarias escritas centradas en las relaciones románticas y el amor entre personas; utilícese en referencia a la ficción romántica centrada en personajes o temas bisexuales.
